Model,Training Accuracy,Validation Accuracy,Training Precision,Validation Precision,Training Recall ,Validation Recall,Training F1,Validation F1,Training ROC_AUC,Validation ROC_AUC
Logistic Regression,0.6531620204628177,0.636437908496732,0.6685559362911835,0.6625575916995652,0.8999763063427284,0.8926803447154651,0.7366389225639729,0.7200720794927314,0.627854156917562,0.621807971366244
Random Forest Classifier,0.9282413667599869,0.6253267973856209,0.9632825301237311,0.6415510984499323,0.9639951329764148,0.7825305126934944,0.9398747302279169,0.7014562067817344,0.9714465316977435,0.6035094108961466
XGB Classifier,0.7210919821752435,0.6227124183006536,0.7614066603131495,0.6374001746856466,0.9353980994829907,0.9081585632055742,0.8063138351278536,0.7235689472308466,0.6976384017456876,0.5988016401152368
Ridge Classifier,0.653762615166255,0.6331699346405228,0.6666815939468969,0.660460893197453,0.8363170233511783,0.776818772448182,0.7331703734684896,0.7016989742248587,0.6254144073394595,0.6181708284979082
Support Vector Machine,0.6579122871899844,0.6281045751633987,0.6651340180111479,0.6612683114599767,0.8217300064844351,0.7385269102693431,0.7334740389736505,0.6884611770690956,0.6280272151603359,0.6153633954663373
