,Model,Training Accuracy,Validation Accuracy,Training Precision,Validation Precision,Training Recall ,Validation Recall,Training F1,Validation F1,Training ROC_AUC,Validation ROC_AUC
0,Logistic Regression,0.6531620204628177,0.636437908496732,0.6685559362911835,0.6625575916995652,0.8999763063427284,0.8926803447154651,0.7366389225639729,0.7200720794927314,0.627854156917562,0.621807971366244
1,Random Forest Classifier,0.9751715871082792,0.625,0.946869185333761,0.6407709689861538,0.9949932639831168,0.7846250746604202,0.9788787498742684,0.7020978031043242,0.9566670419824771,0.6034275846732159
2,XGB Classifier,0.7355096459540527,0.6205882352941177,0.8353754517424539,0.6393990054962397,0.9080278117160419,0.8930026134387438,0.7639813012679696,0.7209789989318794,0.7475544581615038,0.5974224566947172
3,Ridge Classifier,0.653762615166255,0.6331699346405228,0.6666815939468969,0.660460893197453,0.8363170233511783,0.776818772448182,0.7331703734684896,0.7016989742248587,0.6254144073394595,0.6181708284979082
4,Support Vector Machine,0.6579122871899844,0.6281045751633987,0.6651229684322045,0.6612123009311464,0.8217300064844351,0.7385269102693431,0.7334740389736505,0.6884611770690956,0.6280186524406107,0.6153315023220003
