,Model,Training Accuracy,Validation Accuracy,Training Precision,Validation Precision,Training Recall ,Validation Recall,Training F1,Validation F1,Training ROC_AUC,Validation ROC_AUC
0,Logistic Regression,0.654236559139785,0.6235944700460829,0.6702251218164825,0.6490208567726212,0.9035763398646912,0.8792469788274291,0.73431165674209,0.7128341941572094,0.627402115672913,0.6079943338047654
1,Random Forest Classifier,0.9474101382488479,0.6175115207373272,1.0,0.6328076826411029,0.9954633163538965,0.7999690574874625,0.9564615051265862,0.702696843894689,0.9385208955038683,0.5924249716014359
2,XGB Classifier,0.7262672811059908,0.6204608294930875,0.8367861840989214,0.6429425643600807,0.9733001039134308,0.9461293656235525,0.8247518442042214,0.7196939806645376,0.9338084375261413,0.6003787049159953
3,Linear SVC,0.6542427035330262,0.624147465437788,0.6721612215936716,0.6501305452135584,0.7956614705641321,0.7416231879780855,0.7272967472144488,0.6899784571172176,0.6270686138578954,0.6087154702802258
