TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
CLE,CLE vs. DEN,03/18/2022,W,265,119,44,98,44.9,14,37,37.8,17,26,65.4,15,31,46,31,11,4,11,17,3
MIA,MIA vs. OKC,03/18/2022,W,240,120,46,95,48.4,18,51,35.3,10,12,83.3,11,35,46,25,5,0,6,19,12
LAC,LAC @ UTA,03/18/2022,L,240,92,31,86,36,11,35,31.4,19,21,90.5,8,35,43,23,10,8,12,13,-29
PHI,PHI vs. DAL,03/18/2022,W,240,111,37,75,49.3,16,38,42.1,21,23,91.3,5,33,38,23,9,4,12,21,10
WAS,WAS @ NYK,03/18/2022,L,240,97,34,79,43,13,34,38.2,16,21,76.2,3,35,38,19,2,6,13,27,-3
HOU,HOU vs. IND,03/18/2022,L,240,118,39,79,49.4,12,27,44.4,28,32,87.5,5,37,42,24,9,8,16,19,-3
DEN,DEN @ CLE,03/18/2022,L,265,116,46,92,50,10,33,30.3,14,18,77.8,13,38,51,35,6,3,19,24,-3
IND,IND @ HOU,03/18/2022,W,240,121,47,101,46.5,14,43,32.6,13,19,68.4,16,30,46,29,7,4,13,26,3
SAC,SAC vs. BOS,03/18/2022,L,240,97,33,79,41.8,13,36,36.1,18,24,75,8,29,37,23,5,6,16,14,-29
ATL,ATL vs. MEM,03/18/2022,W,240,120,45,91,49.5,13,28,46.4,17,21,81,7,33,40,28,12,6,10,20,15
BOS,BOS @ SAC,03/18/2022,W,240,126,46,82,56.1,22,40,55,12,17,70.6,6,37,43,33,11,1,13,23,29
POR,POR @ BKN,03/18/2022,L,240,123,48,96,50,13,35,37.1,14,24,58.3,17,20,37,29,14,4,14,26,-5
PHX,PHX vs. CHI,03/18/2022,W,240,129,47,84,56,11,25,44,24,26,92.3,10,39,49,23,5,4,13,20,27
CHI,CHI @ PHX,03/18/2022,L,240,102,35,85,41.2,7,27,25.9,25,31,80.6,13,24,37,20,6,0,11,18,-27
UTA,UTA vs. LAC,03/18/2022,W,240,121,47,97,48.5,16,44,36.4,11,14,78.6,15,44,59,30,9,5,12,18,29
NYK,NYK vs. WAS,03/18/2022,W,240,100,31,90,34.4,10,33,30.3,28,36,77.8,19,41,60,18,9,3,13,20,3
LAL,LAL @ TOR,03/18/2022,W,265,128,47,96,49,19,43,44.2,15,21,71.4,13,30,43,33,6,4,14,19,5
TOR,TOR vs. LAL,03/18/2022,L,265,123,49,97,50.5,12,37,32.4,13,20,65,16,30,46,25,8,2,12,19,-5
BKN,BKN vs. POR,03/18/2022,W,240,128,45,77,58.4,10,25,40,28,33,84.8,13,32,45,24,7,4,21,22,5
NOP,NOP @ SAS,03/18/2022,W,240,124,48,96,50,14,34,41.2,14,18,77.8,13,45,58,24,13,4,10,21,33
DET,DET @ ORL,03/17/2022,W,240,134,47,94,50,20,43,46.5,20,31,64.5,10,35,45,34,11,3,9,21,14
ORL,ORL vs. DET,03/17/2022,L,240,120,47,97,48.5,11,30,36.7,15,21,71.4,10,35,45,24,3,4,14,21,-14
DEN,DEN @ WAS,03/16/2022,W,240,127,46,90,51.1,15,37,40.5,20,21,95.2,8,33,41,30,7,3,10,25,18
BOS,BOS @ GSW,03/16/2022,W,240,110,38,81,46.9,15,40,37.5,19,22,86.4,8,45,53,23,4,4,10,15,22
OKC,OKC @ SAS,03/16/2022,L,240,120,43,82,52.4,13,35,37.1,21,29,72.4,10,37,47,24,11,1,19,18,-2
CLE,CLE vs. PHI,03/16/2022,L,240,114,39,80,48.8,9,28,32.1,27,32,84.4,8,31,39,25,9,4,9,17,-4
UTA,UTA vs. CHI,03/16/2022,W,240,125,42,83,50.6,19,39,48.7,22,29,75.9,10,37,47,20,8,6,17,18,15
LAC,LAC vs. TOR,03/16/2022,L,240,100,38,78,48.7,11,30,36.7,13,15,86.7,10,31,41,27,7,2,14,15,-3
PHI,PHI @ CLE,03/16/2022,W,240,118,41,79,51.9,12,32,37.5,24,28,85.7,7,32,39,24,6,2,11,25,4
WAS,WAS vs. DEN,03/16/2022,L,240,109,41,87,47.1,5,23,21.7,22,31,71,13,35,48,26,7,8,11,18,-18
NYK,NYK vs. POR,03/16/2022,W,240,128,40,80,50,16,38,42.1,32,39,82.1,9,38,47,31,9,8,11,14,30
POR,POR @ NYK,03/16/2022,L,240,98,40,91,44,11,34,32.4,7,14,50,10,31,41,26,1,3,12,31,-30
HOU,HOU vs. PHX,03/16/2022,L,240,112,42,85,49.4,16,39,41,12,19,63.2,9,24,33,26,9,3,12,13,-17
ATL,ATL @ CHA,03/16/2022,L,240,106,40,93,43,13,37,35.1,13,14,92.9,12,31,43,28,6,2,13,23,-10
CHA,CHA vs. ATL,03/16/2022,W,240,116,43,87,49.4,11,35,31.4,19,23,82.6,11,32,43,30,8,8,9,18,10
GSW,GSW vs. BOS,03/16/2022,L,240,88,32,86,37.2,11,48,22.9,13,16,81.3,7,31,38,19,8,4,8,21,-22
BKN,BKN vs. DAL,03/16/2022,L,240,111,45,91,49.5,9,26,34.6,12,15,80,19,26,45,28,2,2,11,21,-2
PHX,PHX @ HOU,03/16/2022,W,240,129,53,95,55.8,13,33,39.4,10,13,76.9,13,36,49,32,5,4,11,18,17
SAC,SAC vs. MIL,03/16/2022,L,240,126,46,94,48.9,16,43,37.2,18,21,85.7,7,32,39,27,8,5,15,21,-9
MIL,MIL @ SAC,03/16/2022,W,240,135,47,89,52.8,18,35,51.4,23,32,71.9,8,39,47,21,12,3,13,19,9
CHI,CHI @ UTA,03/16/2022,L,240,110,43,91,47.3,12,34,35.3,12,17,70.6,5,32,37,28,10,2,12,22,-15
TOR,TOR @ LAC,03/16/2022,W,240,103,38,83,45.8,11,32,34.4,16,21,76.2,13,30,43,14,5,1,11,12,3
LAL,LAL @ MIN,03/16/2022,L,240,104,39,93,41.9,10,44,22.7,16,23,69.6,13,25,38,23,7,4,14,25,-20
MIN,MIN vs. LAL,03/16/2022,W,240,124,40,90,44.4,17,42,40.5,27,31,87.1,15,36,51,22,7,6,17,23,20
DAL,DAL @ BKN,03/16/2022,W,240,113,41,83,49.4,12,34,35.3,19,19,100,9,28,37,21,5,2,11,17,2
SAS,SAS vs. OKC,03/16/2022,W,240,122,43,98,43.9,19,41,46.3,17,20,85,15,33,48,31,10,2,12,18,2
ORL,ORL vs. BKN,03/15/2022,L,240,108,36,95,37.9,15,41,36.6,21,27,77.8,11,26,37,25,2,4,12,25,-42
BKN,BKN @ ORL,03/15/2022,W,240,150,53,88,60.2,16,27,59.3,28,34,82.4,7,41,48,35,9,4,13,23,42
PHX,PHX @ NOP,03/15/2022,W,240,131,49,90,54.4,18,34,52.9,15,15,100,6,28,34,35,9,2,9,22,16
MIA,MIA vs. DET,03/15/2022,W,240,105,29,72,40.3,12,33,36.4,35,39,89.7,7,37,44,20,1,1,13,21,7
DET,DET @ MIA,03/15/2022,L,240,98,37,80,46.3,10,34,29.4,14,22,63.6,6,33,39,23,6,5,13,30,-7
IND,IND vs. MEM,03/15/2022,L,240,102,41,98,41.8,6,30,20,14,19,73.7,16,33,49,23,4,3,19,21,-33
NOP,NOP vs. PHX,03/15/2022,L,240,115,43,86,50,12,34,35.3,17,24,70.8,13,32,45,29,7,4,17,19,-16
MEM,MEM @ IND,03/15/2022,W,240,135,54,105,51.4,15,40,37.5,12,20,60,18,33,51,38,11,11,10,16,33
SAC,SAC vs. CHI,03/14/2022,W,240,112,39,82,47.6,10,25,40,24,26,92.3,7,38,45,25,10,3,16,21,9
SAS,SAS vs. MIN,03/14/2022,L,240,139,52,97,53.6,13,35,37.1,22,26,84.6,9,27,36,33,5,11,15,24,-10
CHI,CHI @ SAC,03/14/2022,L,240,103,36,88,40.9,10,34,29.4,21,22,95.5,9,31,40,22,5,5,15,20,-9
WAS,WAS @ GSW,03/14/2022,L,240,112,42,82,51.2,10,26,38.5,18,23,78.3,5,30,35,28,7,1,12,18,-14
MIN,MIN @ SAS,03/14/2022,W,240,149,52,90,57.8,17,33,51.5,28,32,87.5,7,33,40,28,8,3,16,20,10
LAL,LAL vs. TOR,03/14/2022,L,240,103,34,87,39.1,13,42,31,22,29,75.9,9,34,43,20,7,7,13,27,-11
UTA,UTA vs. MIL,03/14/2022,L,240,111,37,93,39.8,17,48,35.4,20,24,83.3,13,32,45,21,7,4,14,23,-6
OKC,OKC vs. CHA,03/14/2022,L,240,116,42,90,46.7,16,44,36.4,16,19,84.2,13,36,49,31,4,3,18,19,-18
TOR,TOR @ LAL,03/14/2022,W,240,114,39,96,40.6,10,37,27,26,36,72.2,19,45,64,24,8,9,13,20,11
MIL,MIL @ UTA,03/14/2022,W,240,117,40,86,46.5,12,31,38.7,25,29,86.2,6,36,42,21,10,3,14,19,6
POR,POR @ ATL,03/14/2022,L,240,113,44,88,50,10,24,41.7,15,21,71.4,11,45,56,25,4,9,21,25,-9
ATL,ATL vs. POR,03/14/2022,W,240,122,40,109,36.7,12,48,25,30,32,93.8,17,32,49,28,13,6,4,15,9
CLE,CLE vs. LAC,03/14/2022,W,265,120,41,86,47.7,15,30,50,23,32,71.9,12,37,49,28,7,4,12,19,9
CHA,CHA @ OKC,03/14/2022,W,240,134,49,91,53.8,20,35,57.1,16,21,76.2,8,29,37,33,12,7,6,17,18
LAC,LAC @ CLE,03/14/2022,L,265,111,43,98,43.9,12,36,33.3,13,17,76.5,12,31,43,29,5,8,11,24,-9
GSW,GSW vs. WAS,03/14/2022,W,240,126,45,84,53.6,18,45,40,18,22,81.8,6,38,44,26,7,4,13,21,14
PHI,PHI vs. DEN,03/14/2022,L,240,110,36,84,42.9,12,33,36.4,26,32,81.3,11,37,48,25,8,6,13,17,-4
DEN,DEN @ PHI,03/14/2022,W,240,114,44,82,53.7,13,33,39.4,13,20,65,6,36,42,29,8,3,14,24,4
DAL,DAL @ BOS,03/13/2022,W,240,95,33,74,44.6,15,37,40.5,14,19,73.7,4,38,42,20,7,5,18,16,3
NOP,NOP vs. HOU,03/13/2022,W,240,130,48,93,51.6,10,32,31.3,24,34,70.6,14,31,45,30,17,3,11,20,25
HOU,HOU @ NOP,03/13/2022,L,240,105,39,77,50.6,12,31,38.7,15,25,60,9,30,39,24,3,4,25,26,-25
ATL,ATL vs. IND,03/13/2022,W,240,131,46,84,54.8,17,38,44.7,22,24,91.7,9,27,36,27,9,3,12,21,3
IND,IND @ ATL,03/13/2022,L,240,128,46,89,51.7,15,35,42.9,21,26,80.8,15,28,43,23,7,4,15,21,-3
BOS,BOS vs. DAL,03/13/2022,L,240,92,33,88,37.5,9,37,24.3,17,19,89.5,11,34,45,16,8,3,11,12,-3
ORL,ORL vs. PHI,03/13/2022,L,265,114,41,91,45.1,18,43,41.9,14,20,70,8,42,50,28,7,7,12,27,-2
PHI,PHI @ ORL,03/13/2022,W,265,116,35,92,38,14,37,37.8,32,37,86.5,10,35,45,21,7,3,8,17,2
LAL,LAL @ PHX,03/13/2022,L,240,111,36,81,44.4,16,40,40,23,31,74.2,7,30,37,24,4,2,19,14,-29
PHX,PHX vs. LAL,03/13/2022,W,240,140,58,102,56.9,12,33,36.4,12,14,85.7,14,37,51,36,12,5,11,24,29
OKC,OKC vs. MEM,03/13/2022,L,240,118,41,97,42.3,13,41,31.7,23,28,82.1,14,30,44,25,7,8,11,21,-7
MEM,MEM @ OKC,03/13/2022,W,240,125,48,102,47.1,11,29,37.9,18,20,90,20,37,57,30,8,5,13,20,7
BKN,BKN vs. NYK,03/13/2022,W,240,110,44,89,49.4,6,29,20.7,16,22,72.7,12,27,39,30,11,3,14,19,3
NYK,NYK @ BKN,03/13/2022,L,240,107,39,83,47,11,29,37.9,18,21,85.7,11,29,40,27,8,5,17,21,-3
LAC,LAC @ DET,03/13/2022,W,240,106,40,89,44.9,10,30,33.3,16,20,80,11,35,46,25,5,3,6,15,4
DET,DET vs. LAC,03/13/2022,L,240,102,36,80,45,12,29,41.4,18,20,90,8,36,44,23,3,4,10,18,-4
DEN,DEN vs. TOR,03/12/2022,L,240,115,43,78,55.1,11,27,40.7,18,24,75,9,30,39,32,4,5,19,23,-12
TOR,TOR @ DEN,03/12/2022,W,240,127,48,102,47.1,12,31,38.7,19,25,76,23,27,50,28,12,6,8,23,12
POR,POR vs. WAS,03/12/2022,W,240,127,48,93,51.6,11,30,36.7,20,22,90.9,12,31,43,21,10,3,11,21,9
WAS,WAS @ POR,03/12/2022,L,240,118,39,83,47,14,34,41.2,26,27,96.3,9,26,35,26,7,8,15,16,-9
CHI,CHI vs. CLE,03/12/2022,W,240,101,39,88,44.3,9,21,42.9,14,15,93.3,8,38,46,20,12,5,14,18,10
MIN,MIN @ MIA,03/12/2022,W,240,113,35,83,42.2,15,42,35.7,28,32,87.5,6,40,46,21,12,5,15,19,9
