TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
MIL,MIL @ CHI,04/30/2021,W,240,108,42,90,46.7,9,25,36,15,20,75,8,43,51,24,5,5,11,19,10
CHI,CHI vs. MIL,04/30/2021,L,240,98,37,96,38.5,10,33,30.3,14,21,66.7,14,36,50,23,5,5,10,18,-10
BKN,BKN vs. POR,04/30/2021,L,240,109,40,95,42.1,13,41,31.7,16,19,84.2,11,31,42,20,6,3,8,18,-19
OKC,OKC vs. NOP,04/29/2021,L,240,95,34,89,38.2,11,39,28.2,16,20,80,12,41,53,18,6,4,22,21,-14
NOP,NOP @ OKC,04/29/2021,W,240,109,45,101,44.6,5,29,17.2,14,19,73.7,15,41,56,26,11,6,12,22,14
MIN,MIN vs. GSW,04/29/2021,W,240,126,43,94,45.7,20,41,48.8,20,29,69,16,41,57,31,5,2,14,21,12
DET,DET vs. DAL,04/29/2021,L,240,105,36,71,50.7,10,29,34.5,23,34,67.6,3,36,39,26,7,5,18,23,-10
MIL,MIL @ HOU,04/29/2021,L,240,136,49,93,52.7,16,39,41,22,25,88,8,30,38,27,12,5,14,21,-7
HOU,HOU vs. MIL,04/29/2021,W,240,143,49,98,50,25,46,54.3,20,24,83.3,16,36,52,23,6,6,18,23,7
DEN,DEN vs. TOR,04/29/2021,W,240,121,44,93,47.3,12,35,34.3,21,26,80.8,14,33,47,22,6,7,11,16,10
DAL,DAL @ DET,04/29/2021,W,240,115,40,89,44.9,13,30,43.3,22,23,95.7,8,27,35,22,6,2,12,20,10
TOR,TOR @ DEN,04/29/2021,L,240,111,40,83,48.2,16,32,50,15,18,83.3,7,29,36,27,10,6,16,19,-10
BKN,BKN @ IND,04/29/2021,W,240,130,47,89,52.8,12,35,34.3,24,28,85.7,8,42,50,35,3,5,14,19,17
GSW,GSW @ MIN,04/29/2021,L,240,114,42,85,49.4,15,38,39.5,15,21,71.4,4,30,34,28,10,7,10,21,-12
IND,IND vs. BKN,04/29/2021,L,240,113,41,96,42.7,11,39,28.2,20,21,95.2,7,31,38,23,8,6,10,23,-17
PHX,PHX vs. LAC,04/28/2021,W,240,109,43,91,47.3,13,37,35.1,10,13,76.9,15,30,45,23,9,4,10,11,8
LAC,LAC @ PHX,04/28/2021,L,240,101,41,80,51.3,12,31,38.7,7,9,77.8,5,31,36,24,8,0,15,16,-8
POR,POR @ MEM,04/28/2021,W,240,130,45,92,48.9,15,40,37.5,25,28,89.3,11,40,51,23,7,6,10,20,21
CHA,CHA @ BOS,04/28/2021,L,240,111,37,87,42.5,13,35,37.1,24,32,75,11,22,33,29,7,5,11,18,-9
MEM,MEM vs. POR,04/28/2021,L,240,109,37,88,42,9,32,28.1,26,30,86.7,8,36,44,26,7,6,11,21,-21
ORL,ORL @ CLE,04/28/2021,W,240,109,43,85,50.6,10,29,34.5,13,20,65,9,40,49,26,9,7,15,21,5
BOS,BOS vs. CHA,04/28/2021,W,240,120,44,92,47.8,15,40,37.5,17,22,77.3,19,35,54,26,9,8,14,24,9
CLE,CLE vs. ORL,04/28/2021,L,240,104,37,92,40.2,12,44,27.3,18,24,75,13,32,45,30,12,3,13,15,-5
NOP,NOP @ DEN,04/28/2021,L,240,112,43,87,49.4,12,30,40,14,19,73.7,6,36,42,27,13,5,21,24,-2
DEN,DEN vs. NOP,04/28/2021,W,240,114,43,85,50.6,10,32,31.3,18,23,78.3,3,35,38,26,14,8,18,17,2
UTA,UTA @ SAC,04/28/2021,W,240,154,55,86,64,24,41,58.5,20,21,95.2,8,39,47,36,4,9,14,15,49
SAS,SAS @ MIA,04/28/2021,L,240,111,41,88,46.6,10,32,31.3,19,24,79.2,7,33,40,26,6,3,9,20,-5
ATL,ATL @ PHI,04/28/2021,L,240,83,27,81,33.3,6,19,31.6,23,29,79.3,17,30,47,17,3,3,15,18,-44
