TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
SAC,SAC vs. WAS,04/14/2021,L,240,111,42,91,46.2,9,27,33.3,18,24,75,5,25,30,22,17,8,17,22,-12
WAS,WAS @ SAC,04/14/2021,W,240,123,47,90,52.2,7,24,29.2,22,27,81.5,14,42,56,23,12,3,26,18,12
PHI,PHI vs. BKN,04/14/2021,W,240,123,45,87,51.7,13,28,46.4,20,25,80,4,28,32,23,8,9,10,21,6
TOR,TOR vs. SAS,04/14/2021,W,240,117,41,88,46.6,14,30,46.7,21,25,84,13,41,54,21,8,5,16,19,5
SAS,SAS @ TOR,04/14/2021,L,240,112,38,89,42.7,17,39,43.6,19,27,70.4,12,29,41,26,6,7,13,19,-5
MIL,MIL @ MIN,04/14/2021,W,240,130,46,98,46.9,19,40,47.5,19,23,82.6,7,45,52,26,14,4,16,20,25
MIN,MIN vs. MIL,04/14/2021,L,240,105,34,92,37,15,41,36.6,22,31,71,10,37,47,22,13,7,16,17,-25
NOP,NOP vs. NYK,04/14/2021,L,240,106,40,88,45.5,6,28,21.4,20,24,83.3,9,40,49,25,3,5,9,12,-10
NYK,NYK @ NOP,04/14/2021,W,240,116,44,97,45.4,17,33,51.5,11,13,84.6,11,37,48,19,6,5,6,17,10
DAL,DAL @ MEM,04/14/2021,W,240,114,44,88,50,13,40,32.5,13,17,76.5,8,37,45,25,4,3,11,17,1
MEM,MEM vs. DAL,04/14/2021,L,240,113,42,90,46.7,13,34,38.2,16,21,76.2,11,34,45,27,7,3,7,18,-1
DEN,DEN vs. MIA,04/14/2021,W,240,123,48,89,53.9,17,36,47.2,10,13,76.9,11,32,43,32,5,7,11,19,17
MIA,MIA @ DEN,04/14/2021,L,240,106,39,79,49.4,13,32,40.6,15,18,83.3,4,26,30,29,7,8,8,13,-17
DET,DET vs. LAC,04/14/2021,L,240,98,37,85,43.5,7,24,29.2,17,22,77.3,11,35,46,17,5,4,16,21,-2
LAC,LAC @ DET,04/14/2021,W,240,100,37,93,39.8,7,29,24.1,19,21,90.5,15,32,47,10,8,2,11,20,2
IND,IND @ HOU,04/14/2021,W,240,132,50,94,53.2,15,36,41.7,17,22,77.3,11,37,48,28,10,6,18,16,8
OKC,OKC vs. GSW,04/14/2021,L,240,109,44,92,47.8,7,27,25.9,14,25,56,17,33,50,22,6,2,21,22,-38
CHI,CHI vs. ORL,04/14/2021,L,240,106,41,86,47.7,17,37,45.9,7,9,77.8,7,33,40,23,7,6,12,16,-9
ORL,ORL @ CHI,04/14/2021,W,240,115,44,89,49.4,12,27,44.4,15,20,75,13,33,46,29,8,10,7,15,9
HOU,HOU vs. IND,04/14/2021,L,240,124,48,104,46.2,10,34,29.4,18,22,81.8,16,31,47,22,12,6,15,17,-8
BKN,BKN @ PHI,04/14/2021,L,240,117,43,83,51.8,4,21,19,27,30,90,11,32,43,23,6,3,16,21,-6
BKN,BKN @ MIN,04/13/2021,W,240,127,46,91,50.5,15,36,41.7,20,24,83.3,11,46,57,31,8,4,19,22,30
MIN,MIN vs. BKN,04/13/2021,L,240,97,30,87,34.5,13,49,26.5,24,33,72.7,11,33,44,16,13,12,14,20,-30
MIA,MIA @ PHX,04/13/2021,L,240,86,31,82,37.8,9,44,20.5,15,19,78.9,8,28,36,24,13,2,18,20,-20
PHX,PHX vs. MIA,04/13/2021,W,240,106,38,82,46.3,13,42,31,17,18,94.4,9,39,48,28,11,2,21,18,20
OKC,OKC @ UTA,04/13/2021,L,240,96,36,93,38.7,14,34,41.2,10,18,55.6,15,35,50,13,8,1,14,23,-10
UTA,UTA vs. OKC,04/13/2021,W,240,106,36,86,41.9,17,47,36.2,17,20,85,11,40,51,24,6,10,14,18,10
LAL,LAL @ CHA,04/13/2021,W,240,101,34,82,41.5,16,44,36.4,17,18,94.4,8,30,38,24,9,2,11,18,8
POR,POR vs. BOS,04/13/2021,L,240,115,43,90,47.8,17,43,39.5,12,17,70.6,8,38,46,31,6,5,14,22,-1
BOS,BOS @ POR,04/13/2021,W,240,116,42,90,46.7,15,35,42.9,17,24,70.8,9,37,46,30,5,4,10,19,1
CHA,CHA vs. LAL,04/13/2021,L,240,93,36,83,43.4,9,35,25.7,12,18,66.7,12,33,45,22,5,3,18,18,-8
ATL,ATL @ TOR,04/13/2021,W,240,108,40,84,47.6,13,30,43.3,15,22,68.2,8,31,39,21,7,2,14,16,5
TOR,TOR vs. ATL,04/13/2021,L,240,103,42,88,47.7,10,39,25.6,9,13,69.2,6,36,42,16,7,4,13,19,-5
IND,IND vs. LAC,04/13/2021,L,240,115,44,96,45.8,9,40,22.5,18,22,81.8,9,33,42,14,9,5,12,17,-11
LAC,LAC @ IND,04/13/2021,W,240,126,48,89,53.9,13,28,46.4,17,19,89.5,6,42,48,34,10,5,14,20,11
DEN,DEN @ GSW,04/12/2021,L,240,107,39,83,47,8,26,30.8,21,25,84,10,31,41,23,11,2,20,24,-9
GSW,GSW vs. DEN,04/12/2021,W,240,116,39,81,48.1,18,44,40.9,20,22,90.9,4,32,36,23,11,3,16,22,9
DAL,DAL vs. PHI,04/12/2021,L,240,95,35,83,42.2,9,36,25,16,20,80,11,35,46,16,7,3,15,24,-18
PHI,PHI @ DAL,04/12/2021,W,240,113,39,80,48.8,12,31,38.7,23,33,69.7,6,34,40,24,9,4,9,20,18
CHI,CHI @ MEM,04/12/2021,L,240,90,36,86,41.9,5,31,16.1,13,17,76.5,8,32,40,23,8,3,17,16,-11
MEM,MEM vs. CHI,04/12/2021,W,240,101,40,85,47.1,9,28,32.1,12,14,85.7,10,41,51,27,7,7,20,20,11
HOU,HOU @ PHX,04/12/2021,L,240,120,44,87,50.6,17,42,40.5,15,19,78.9,12,39,51,32,9,3,21,15,-6
ORL,ORL vs. SAS,04/12/2021,L,240,97,36,80,45,5,20,25,20,32,62.5,11,33,44,15,6,2,15,17,-23
SAS,SAS @ ORL,04/12/2021,W,240,120,48,93,51.6,10,25,40,14,18,77.8,12,35,47,30,6,5,9,26,23
UTA,UTA vs. WAS,04/12/2021,L,240,121,41,85,48.2,15,36,41.7,24,31,77.4,9,34,43,21,2,3,14,23,-4
WAS,WAS @ UTA,04/12/2021,W,240,125,47,90,52.2,9,19,47.4,22,28,78.6,8,36,44,29,7,4,8,27,4
PHX,PHX vs. HOU,04/12/2021,W,240,126,45,94,47.9,25,45,55.6,11,18,61.1,12,30,42,33,14,3,14,18,6
SAC,SAC @ NOP,04/12/2021,L,240,110,39,90,43.3,10,35,28.6,22,37,59.5,8,26,34,21,14,3,10,26,-7
NOP,NOP vs. SAC,04/12/2021,W,240,117,42,77,54.5,6,19,31.6,27,39,69.2,9,42,51,24,8,5,23,23,7
NYK,NYK vs. LAL,04/12/2021,W,240,111,42,89,47.2,5,27,18.5,22,27,81.5,15,32,47,18,14,9,15,20,15
LAL,LAL @ NYK,04/12/2021,L,240,96,35,80,43.8,12,36,33.3,14,18,77.8,4,29,33,22,5,7,25,21,-15
SAS,SAS @ DAL,04/11/2021,W,240,119,45,83,54.2,8,21,38.1,21,27,77.8,10,31,41,20,10,7,15,20,2
CLE,CLE vs. NOP,04/11/2021,L,240,109,41,85,48.2,13,40,32.5,14,17,82.4,9,27,36,29,7,5,17,23,-7
ORL,ORL vs. MIL,04/11/2021,L,240,87,32,86,37.2,8,36,22.2,15,19,78.9,7,30,37,19,8,6,14,13,-37
POR,POR vs. MIA,04/11/2021,L,240,98,37,77,48.1,11,35,31.4,13,19,68.4,8,33,41,21,5,5,17,16,-9
MIA,MIA @ POR,04/11/2021,W,240,107,41,83,49.4,12,29,41.4,13,20,65,6,24,30,21,12,4,8,18,9
MIL,MIL @ ORL,04/11/2021,W,240,124,46,94,48.9,19,40,47.5,13,15,86.7,12,44,56,28,8,7,12,15,37
BOS,BOS @ DEN,04/11/2021,W,240,105,39,87,44.8,7,33,21.2,20,23,87,10,42,52,20,4,7,11,18,18
DEN,DEN vs. BOS,04/11/2021,L,240,87,32,88,36.4,8,34,23.5,15,18,83.3,13,33,46,23,5,4,9,20,-18
DET,DET @ LAC,04/11/2021,L,240,124,46,87,52.9,15,32,46.9,17,19,89.5,12,19,31,33,12,4,13,24,-7
LAC,LAC vs. DET,04/11/2021,W,240,131,50,80,62.5,15,27,55.6,16,21,76.2,7,30,37,35,4,5,17,18,7
DAL,DAL vs. SAS,04/11/2021,L,240,117,45,94,47.9,13,42,31,14,15,93.3,11,26,37,25,5,3,12,21,-2
NOP,NOP @ CLE,04/11/2021,W,240,116,44,86,51.2,7,24,29.2,21,26,80.8,14,36,50,30,9,3,16,16,7
CHA,CHA vs. ATL,04/11/2021,L,240,101,37,80,46.3,15,43,34.9,12,14,85.7,6,32,38,28,5,5,12,14,-4
ATL,ATL @ CHA,04/11/2021,W,240,105,38,84,45.2,17,39,43.6,12,16,75,7,34,41,27,7,1,12,11,4
MEM,MEM vs. IND,04/11/2021,L,240,125,53,115,46.1,6,20,30,13,19,68.4,24,26,50,27,11,6,6,12,-7
IND,IND @ MEM,04/11/2021,W,240,132,52,99,52.5,13,37,35.1,15,17,88.2,15,38,53,35,5,10,12,16,7
CHI,CHI @ MIN,04/11/2021,L,240,117,47,92,51.1,15,38,39.5,8,13,61.5,8,30,38,30,10,8,14,19,-4
MIN,MIN vs. CHI,04/11/2021,W,240,121,40,81,49.4,16,36,44.4,25,25,100,3,33,36,27,7,6,15,14,4
TOR,TOR @ NYK,04/11/2021,L,240,96,33,79,41.8,11,34,32.4,19,23,82.6,5,35,40,19,8,7,17,23,-6
NYK,NYK vs. TOR,04/11/2021,W,240,102,35,88,39.8,9,35,25.7,23,27,85.2,11,35,46,19,9,4,13,19,6
TOR,TOR @ CLE,04/10/2021,W,240,135,53,86,61.6,17,32,53.1,12,14,85.7,5,34,39,29,12,11,19,18,20
OKC,OKC vs. PHI,04/10/2021,L,240,93,38,76,50,8,20,40,9,19,47.4,6,39,45,21,3,4,23,21,-24
PHX,PHX vs. WAS,04/10/2021,W,240,134,55,107,51.4,17,43,39.5,7,7,100,5,40,45,36,8,3,3,18,28
WAS,WAS @ PHX,04/10/2021,L,240,106,39,84,46.4,9,25,36,19,28,67.9,7,42,49,27,2,1,16,12,-28
CLE,CLE vs. TOR,04/10/2021,L,240,115,39,86,45.3,15,35,42.9,22,26,84.6,7,25,32,27,11,5,17,13,-20
PHI,PHI @ OKC,04/10/2021,W,240,117,44,94,46.8,12,38,31.6,17,25,68,13,34,47,24,11,10,10,17,24
BKN,BKN vs. LAL,04/10/2021,L,240,101,35,80,43.8,5,27,18.5,26,30,86.7,9,33,42,19,6,10,19,20,-25
DET,DET @ POR,04/10/2021,L,240,103,37,83,44.6,9,26,34.6,20,28,71.4,9,29,38,25,9,6,12,23,-15
LAL,LAL @ BKN,04/10/2021,W,240,126,47,93,50.5,19,34,55.9,13,20,65,12,35,47,30,12,4,15,24,25
UTA,UTA vs. SAC,04/10/2021,W,240,128,40,88,45.5,18,50,36,30,35,85.7,11,41,52,22,8,5,10,17,16
POR,POR vs. DET,04/10/2021,W,240,118,43,90,47.8,13,29,44.8,19,24,79.2,14,35,49,18,5,8,16,20,15
SAC,SAC @ UTA,04/10/2021,L,240,112,42,88,47.7,14,42,33.3,14,22,63.6,4,34,38,23,8,4,10,23,-16
HOU,HOU @ GSW,04/10/2021,L,240,109,41,88,46.6,13,37,35.1,14,20,70,13,32,45,25,8,3,18,17,-16
GSW,GSW vs. HOU,04/10/2021,W,240,125,49,91,53.8,14,35,40,13,16,81.3,9,36,45,31,13,5,16,19,16
IND,IND @ ORL,04/09/2021,W,240,111,38,92,41.3,11,33,33.3,24,28,85.7,11,38,49,26,8,10,14,24,5
MIN,MIN @ BOS,04/09/2021,L,265,136,47,96,49,15,42,35.7,27,30,90,9,28,37,30,14,0,15,26,-9
BOS,BOS vs. MIN,04/09/2021,W,265,145,47,87,54,19,42,45.2,32,34,94.1,9,36,45,32,9,5,21,25,9
WAS,WAS @ GSW,04/09/2021,W,240,110,43,89,48.3,5,19,26.3,19,24,79.2,11,36,47,30,6,1,18,16,3
GSW,GSW vs. WAS,04/09/2021,L,240,107,41,88,46.6,11,36,30.6,14,21,66.7,8,33,41,27,15,3,13,20,-3
NYK,NYK vs. MEM,04/09/2021,W,265,133,45,96,46.9,14,32,43.8,29,33,87.9,11,37,48,24,7,7,14,25,4
MEM,MEM @ NYK,04/09/2021,L,265,129,47,94,50,14,30,46.7,21,34,61.8,10,33,43,33,7,6,14,27,-4
ORL,ORL vs. IND,04/09/2021,L,240,106,38,90,42.2,6,24,25,24,31,77.4,12,38,50,23,3,8,15,22,-5
CHA,CHA @ MIL,04/09/2021,W,240,127,44,91,48.4,19,50,38,20,22,90.9,13,36,49,35,4,10,20,19,8
MIL,MIL vs. CHA,04/09/2021,L,240,119,44,98,44.9,14,38,36.8,17,23,73.9,13,35,48,23,10,3,17,14,-8
PHI,PHI @ NOP,04/09/2021,L,240,94,33,79,41.8,11,31,35.5,17,24,70.8,4,43,47,20,8,5,19,23,-7
NOP,NOP vs. PHI,04/09/2021,W,240,101,39,90,43.3,4,22,18.2,19,30,63.3,10,46,56,22,11,7,14,17,7
SAS,SAS @ DEN,04/09/2021,L,240,119,43,93,46.2,9,27,33.3,24,28,85.7,11,27,38,33,10,2,9,21,-2
DEN,DEN vs. SAS,04/09/2021,W,240,121,43,79,54.4,14,27,51.9,21,23,91.3,9,37,46,32,5,4,18,22,2
ATL,ATL vs. CHI,04/09/2021,W,240,120,47,84,56,7,27,25.9,19,23,82.6,6,35,41,25,7,4,9,14,12
HOU,HOU @ LAC,04/09/2021,L,240,109,39,83,47,12,37,32.4,19,27,70.4,12,29,41,28,3,6,14,15,-17
LAC,LAC vs. HOU,04/09/2021,W,240,126,48,88,54.5,19,37,51.4,11,13,84.6,4,34,38,31,10,4,10,24,17
CHI,CHI @ ATL,04/09/2021,L,240,108,41,86,47.7,13,33,39.4,13,14,92.9,8,30,38,25,6,1,13,17,-12
MIA,MIA vs. LAL,04/08/2021,W,240,110,34,71,47.9,10,25,40,32,40,80,9,29,38,22,12,8,21,25,6
TOR,TOR vs. CHI,04/08/2021,L,240,113,42,97,43.3,11,34,32.4,18,22,81.8,15,26,41,19,10,4,10,20,-9
CHI,CHI @ TOR,04/08/2021,W,240,122,47,87,54,12,30,40,16,18,88.9,12,37,49,35,5,3,16,16,9
MIL,MIL @ DAL,04/08/2021,L,240,101,38,100,38,12,33,36.4,13,16,81.3,14,38,52,16,8,1,9,20,-15
SAC,SAC vs. DET,04/08/2021,L,240,101,38,86,44.2,7,30,23.3,18,26,69.2,6,32,38,20,9,4,12,21,-12
DET,DET @ SAC,04/08/2021,W,240,113,44,84,52.4,8,23,34.8,17,20,85,7,36,43,24,7,4,16,24,12
POR,POR @ UTA,04/08/2021,L,240,103,38,96,39.6,13,48,27.1,14,18,77.8,9,32,41,18,3,5,6,21,-19
DAL,DAL vs. MIL,04/08/2021,W,240,116,43,97,44.3,17,45,37.8,13,18,72.2,15,41,56,23,6,8,11,15,15
UTA,UTA vs. POR,04/08/2021,W,240,122,43,95,45.3,12,42,28.6,24,27,88.9,14,44,58,21,4,3,7,15,19
LAC,LAC vs. PHX,04/08/2021,W,240,113,42,84,50,18,37,48.6,11,12,91.7,9,26,35,26,5,1,11,22,10
OKC,OKC vs. CLE,04/08/2021,L,240,102,40,89,44.9,13,32,40.6,9,13,69.2,11,33,44,28,5,5,18,20,-27
CLE,CLE @ OKC,04/08/2021,W,240,129,48,94,51.1,13,37,35.1,20,24,83.3,9,35,44,35,8,3,7,12,27
PHX,PHX @ LAC,04/08/2021,L,240,103,36,71,50.7,6,24,25,25,30,83.3,9,27,36,20,6,6,15,18,-10
LAL,LAL @ MIA,04/08/2021,L,240,104,35,79,44.3,12,35,34.3,22,25,88,10,30,40,26,9,3,22,24,-6
OKC,OKC vs. CHA,04/07/2021,L,240,102,37,85,43.5,16,41,39,12,17,70.6,11,35,46,29,4,5,22,11,-11
ORL,ORL vs. WAS,04/07/2021,L,240,116,44,93,47.3,12,31,38.7,16,23,69.6,11,28,39,22,11,3,11,16,-15
UTA,UTA @ PHX,04/07/2021,L,265,113,46,103,44.7,11,44,25,10,15,66.7,7,38,45,14,6,4,13,23,-4
IND,IND vs. MIN,04/07/2021,W,240,141,55,93,59.1,14,28,50,17,19,89.5,7,28,35,32,6,7,13,28,4
MIN,MIN @ IND,04/07/2021,L,240,137,48,91,52.7,10,28,35.7,31,40,77.5,13,29,42,30,7,2,13,17,-4
NOP,NOP @ BKN,04/07/2021,L,240,111,38,89,42.7,6,27,22.2,29,39,74.4,17,23,40,23,9,2,15,14,-28
ATL,ATL vs. MEM,04/07/2021,L,240,113,45,101,44.6,10,28,35.7,13,15,86.7,11,31,42,26,5,3,7,19,-18
MEM,MEM @ ATL,04/07/2021,W,240,131,48,89,53.9,17,40,42.5,18,21,85.7,11,43,54,30,5,5,14,17,18
CHA,CHA @ OKC,04/07/2021,W,240,113,43,97,44.3,15,44,34.1,12,13,92.3,11,31,42,27,12,5,12,16,11
PHX,PHX vs. UTA,04/07/2021,W,265,117,45,101,44.6,11,34,32.4,16,20,80,16,45,61,20,7,5,14,21,4
HOU,HOU vs. DAL,04/07/2021,W,240,102,38,88,43.2,17,44,38.6,9,16,56.3,10,39,49,21,7,5,11,18,9
DAL,DAL @ HOU,04/07/2021,L,240,93,33,87,37.9,10,39,25.6,17,22,77.3,11,35,46,16,4,5,9,15,-9
BKN,BKN vs. NOP,04/07/2021,W,240,139,51,92,55.4,19,41,46.3,18,22,81.8,10,35,45,37,10,8,17,31,28
NYK,NYK @ BOS,04/07/2021,L,240,99,35,84,41.7,16,33,48.5,13,16,81.3,5,34,39,22,7,4,14,21,-2
BOS,BOS vs. NYK,04/07/2021,W,240,101,36,86,41.9,15,40,37.5,14,20,70,16,37,53,22,6,7,20,14,2
DEN,DEN vs. SAS,04/07/2021,W,240,106,40,91,44,8,26,30.8,18,24,75,12,41,53,26,10,6,19,18,10
WAS,WAS @ ORL,04/07/2021,W,240,131,49,85,57.6,19,36,52.8,14,16,87.5,5,32,37,35,7,3,13,18,15
SAS,SAS @ DEN,04/07/2021,L,240,96,38,91,41.8,6,24,25,14,21,66.7,11,31,42,23,11,4,15,19,-10
MIL,MIL @ GSW,04/06/2021,L,240,121,44,86,51.2,14,32,43.8,19,22,86.4,6,34,40,25,7,2,14,13,-1
GSW,GSW vs. MIL,04/06/2021,W,240,122,46,96,47.9,15,40,37.5,15,17,88.2,12,30,42,28,6,5,11,18,1
ATL,ATL vs. NOP,04/06/2021,W,240,123,44,88,50,20,31,64.5,15,22,68.2,10,32,42,24,7,6,11,23,16
NOP,NOP @ ATL,04/06/2021,L,240,107,37,91,40.7,12,38,31.6,21,28,75,16,33,49,24,7,7,14,15,-16
IND,IND vs. CHI,04/06/2021,L,240,97,38,88,43.2,9,30,30,12,16,75,6,27,33,20,15,12,15,17,-16
PHI,PHI @ BOS,04/06/2021,W,240,106,34,73,46.6,9,24,37.5,29,39,74.4,9,29,38,16,11,4,13,20,10
BOS,BOS vs. PHI,04/06/2021,L,240,96,33,70,47.1,14,34,41.2,16,18,88.9,3,29,32,19,5,6,22,22,-10
DET,DET @ DEN,04/06/2021,L,240,119,44,81,54.3,15,35,42.9,16,20,80,7,23,30,27,4,2,13,12,-15
DEN,DEN vs. DET,04/06/2021,W,240,134,56,94,59.6,14,31,45.2,8,9,88.9,13,31,44,36,7,5,11,20,15
LAL,LAL @ TOR,04/06/2021,W,240,110,39,79,49.4,18,40,45,14,22,63.6,11,38,49,29,8,7,22,24,9
TOR,TOR vs. LAL,04/06/2021,L,240,101,36,91,39.6,5,33,15.2,24,30,80,15,27,42,17,13,3,12,19,-9
POR,POR @ LAC,04/06/2021,L,240,116,37,92,40.2,11,36,30.6,31,37,83.8,14,34,48,18,4,5,7,22,-17
LAC,LAC vs. POR,04/06/2021,W,240,133,46,89,51.7,16,41,39,25,30,83.3,8,40,48,24,5,5,8,24,17
MEM,MEM @ MIA,04/06/2021,W,240,124,46,84,54.8,17,41,41.5,15,20,75,9,33,42,30,11,2,14,13,12
MIA,MIA vs. MEM,04/06/2021,L,240,112,44,82,53.7,13,33,39.4,11,18,61.1,7,28,35,34,9,4,14,16,-12
CHI,CHI @ IND,04/06/2021,W,240,113,44,94,46.8,14,33,42.4,11,14,78.6,14,43,57,28,9,5,21,12,16
OKC,OKC vs. DET,04/05/2021,L,240,108,41,97,42.3,5,27,18.5,21,25,84,13,29,42,17,10,6,15,20,-24
SAC,SAC @ MIN,04/05/2021,L,240,106,39,88,44.3,9,36,25,19,24,79.2,10,32,42,27,9,8,15,19,-10
SAS,SAS vs. CLE,04/05/2021,L,240,101,35,83,42.2,5,26,19.2,26,32,81.3,8,30,38,22,4,3,10,22,-24
CLE,CLE @ SAS,04/05/2021,W,240,125,45,86,52.3,12,34,35.3,23,27,85.2,7,40,47,29,5,4,9,24,24
MIN,MIN vs. SAC,04/05/2021,W,240,116,38,91,41.8,12,32,37.5,28,33,84.8,15,36,51,22,10,4,14,16,10
NYK,NYK @ BKN,04/05/2021,L,240,112,40,86,46.5,14,29,48.3,18,22,81.8,5,36,41,24,7,4,12,25,-2
WAS,WAS @ TOR,04/05/2021,L,240,101,37,94,39.4,12,35,34.3,15,18,83.3,15,39,54,21,7,5,18,18,-2
BKN,BKN vs. NYK,04/05/2021,W,240,114,42,92,45.7,10,32,31.3,20,26,76.9,11,34,45,27,6,6,10,14,2
HOU,HOU vs. PHX,04/05/2021,L,240,130,43,79,54.4,17,33,51.5,27,33,81.8,5,33,38,28,6,3,18,25,-3
PHX,PHX @ HOU,04/05/2021,W,240,133,44,86,51.2,18,37,48.6,27,31,87.1,6,31,37,29,11,3,11,22,3
TOR,TOR vs. WAS,04/05/2021,W,240,103,44,94,46.8,7,33,21.2,8,11,72.7,6,39,45,22,11,9,13,20,2
DAL,DAL vs. UTA,04/05/2021,W,240,111,41,91,45.1,23,49,46.9,6,8,75,10,34,44,22,2,2,10,18,8
UTA,UTA @ DAL,04/05/2021,L,240,103,37,88,42,12,44,27.3,17,22,77.3,14,34,48,20,3,4,9,18,-8
DET,DET @ OKC,04/05/2021,W,240,132,49,95,51.6,13,28,46.4,21,24,87.5,13,37,50,32,10,7,14,20,24
PHI,PHI vs. MEM,04/04/2021,L,240,100,37,89,41.6,8,34,23.5,18,28,64.3,16,34,50,23,4,6,11,19,-16
MEM,MEM @ PHI,04/04/2021,W,240,116,44,89,49.4,16,38,42.1,12,15,80,10,39,49,30,6,10,12,23,16
HOU,HOU vs. NOP,04/04/2021,L,240,115,41,89,46.1,16,40,40,17,24,70.8,9,39,48,25,3,3,17,24,-7
NOP,NOP @ HOU,04/04/2021,W,240,122,42,91,46.2,16,37,43.2,22,35,62.9,16,39,55,26,12,9,15,27,7
DEN,DEN vs. ORL,04/04/2021,W,240,119,43,88,48.9,9,29,31,24,31,77.4,19,35,54,27,6,5,15,14,10
GSW,GSW @ ATL,04/04/2021,L,240,111,43,92,46.7,10,40,25,15,21,71.4,9,36,45,25,12,6,16,26,-6
ATL,ATL vs. GSW,04/04/2021,W,240,117,35,81,43.2,12,32,37.5,35,45,77.8,10,39,49,19,10,3,15,19,6
ORL,ORL @ DEN,04/04/2021,L,240,109,42,89,47.2,13,35,37.1,12,17,70.6,10,26,36,27,11,4,12,26,-10
CHI,CHI vs. BKN,04/04/2021,W,240,115,43,78,55.1,8,22,36.4,21,30,70,6,34,40,29,4,3,9,11,8
BKN,BKN @ CHI,04/04/2021,L,240,107,45,93,48.4,11,28,39.3,6,7,85.7,4,31,35,28,3,3,5,17,-8
LAL,LAL @ LAC,04/04/2021,L,240,86,32,80,40,7,23,30.4,15,20,75,7,29,36,16,9,7,19,11,-18
LAC,LAC vs. LAL,04/04/2021,W,240,104,41,86,47.7,14,28,50,8,9,88.9,13,37,50,23,10,4,20,25,18
BOS,BOS vs. CHA,04/04/2021,W,240,116,43,94,45.7,21,54,38.9,9,11,81.8,14,30,44,29,11,5,6,20,30
CHA,CHA @ BOS,04/04/2021,L,240,86,32,80,40,10,31,32.3,12,20,60,9,33,42,23,3,5,17,15,-30
WAS,WAS vs. DAL,04/03/2021,L,240,87,35,86,40.7,5,25,20,12,15,80,9,35,44,12,4,3,14,21,-22
DAL,DAL @ WAS,04/03/2021,W,240,109,40,90,44.4,10,30,33.3,19,24,79.2,14,36,50,17,7,4,8,22,22
MIN,MIN @ PHI,04/03/2021,L,240,113,35,78,44.9,12,36,33.3,31,36,86.1,6,30,36,17,7,5,11,24,-9
PHI,PHI vs. MIN,04/03/2021,W,240,122,41,81,50.6,12,28,42.9,28,37,75.7,8,34,42,26,7,7,12,24,9
OKC,OKC @ POR,04/03/2021,L,240,85,30,85,35.3,8,34,23.5,17,24,70.8,12,34,46,17,4,6,22,21,-48
ORL,ORL @ UTA,04/03/2021,L,240,91,32,87,36.8,2,23,8.7,25,31,80.6,9,30,39,11,5,4,11,14,-46
UTA,UTA vs. ORL,04/03/2021,W,240,137,51,92,55.4,26,55,47.3,9,12,75,7,43,50,34,10,6,11,25,46
SAS,SAS vs. IND,04/03/2021,L,265,133,48,99,48.5,10,29,34.5,27,32,84.4,18,28,46,22,6,6,18,21,-6
IND,IND @ SAS,04/03/2021,W,265,139,52,94,55.3,12,29,41.4,23,26,88.5,11,33,44,27,10,6,14,22,6
NYK,NYK @ DET,04/03/2021,W,240,125,43,79,54.4,19,39,48.7,20,27,74.1,7,37,44,31,12,11,7,18,44
DET,DET vs. NYK,04/03/2021,L,240,81,29,82,35.4,9,28,32.1,14,20,70,12,31,43,20,4,4,15,20,-44
CLE,CLE @ MIA,04/03/2021,L,240,101,35,74,47.3,10,31,32.3,21,25,84,5,30,35,25,7,4,16,15,-14
MIA,MIA vs. CLE,04/03/2021,W,240,115,44,82,53.7,15,38,39.5,12,16,75,4,33,37,35,6,3,11,20,14
SAC,SAC vs. MIL,04/03/2021,L,240,128,49,99,49.5,17,39,43.6,13,13,100,12,28,40,31,7,4,12,17,-1
MIL,MIL @ SAC,04/03/2021,W,240,129,50,93,53.8,11,31,35.5,18,20,90,12,35,47,31,10,3,13,15,1
POR,POR vs. OKC,04/03/2021,W,240,133,51,104,49,20,46,43.5,11,14,78.6,15,41,56,25,13,3,9,18,48
MIN,MIN @ MEM,04/02/2021,L,240,108,38,85,44.7,12,33,36.4,20,23,87,5,34,39,21,6,6,11,20,-12
MEM,MEM vs. MIN,04/02/2021,W,240,120,42,95,44.2,19,39,48.7,17,25,68,14,39,53,26,8,4,12,20,12
NYK,NYK vs. DAL,04/02/2021,L,240,86,32,89,36,12,38,31.6,10,10,100,9,34,43,18,7,3,12,17,-13
DAL,DAL @ NYK,04/02/2021,W,240,99,41,88,46.6,12,37,32.4,5,10,50,4,43,47,19,6,2,10,12,13
LAL,LAL @ SAC,04/02/2021,W,240,115,43,91,47.3,17,33,51.5,12,20,60,13,42,55,26,10,2,17,19,21
UTA,UTA vs. CHI,04/02/2021,W,240,113,37,79,46.8,13,36,36.1,26,27,96.3,6,37,43,16,6,5,11,18,7
CHI,CHI @ UTA,04/02/2021,L,240,106,43,89,48.3,7,28,25,13,17,76.5,7,34,41,26,5,3,7,19,-7
SAC,SAC vs. LAL,04/02/2021,L,240,94,36,85,42.4,10,35,28.6,12,16,75,6,32,38,24,8,5,15,16,-21
ATL,ATL @ NOP,04/02/2021,W,240,126,49,87,56.3,13,29,44.8,15,21,71.4,6,36,42,25,10,9,15,23,23
NOP,NOP vs. ATL,04/02/2021,L,240,103,38,88,43.2,8,29,27.6,19,23,82.6,5,29,34,22,7,6,15,18,-23
