Date,Start (ET),Away,PTS (Away),Home,PTS (Home),,,Attend.,Arena,Notes
Tue Oct 18 2022,7:30p,Philadelphia 76ers,117,Boston Celtics,126,Box Score,,19156,TD Garden,
Tue Oct 18 2022,10:00p,Los Angeles Lakers,109,Golden State Warriors,123,Box Score,,18064,Chase Center,
Wed Oct 19 2022,7:00p,Orlando Magic,109,Detroit Pistons,113,Box Score,,20190,Little Caesars Arena,
Wed Oct 19 2022,7:00p,Washington Wizards,114,Indiana Pacers,107,Box Score,,15027,Gainbridge Fieldhouse,
Wed Oct 19 2022,7:30p,Houston Rockets,107,Atlanta Hawks,117,Box Score,,17878,State Farm Arena,
Wed Oct 19 2022,7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Box Score,,18003,Barclays Center,
Wed Oct 19 2022,7:30p,New York Knicks,112,Memphis Grizzlies,115,Box Score,OT,18202,FedEx Forum,
Wed Oct 19 2022,7:30p,Chicago Bulls,116,Miami Heat,108,Box Score,,19600,Kaseya Center,
Wed Oct 19 2022,7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Box Score,,19800,Scotiabank Arena,
Wed Oct 19 2022,8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Box Score,,17136,Target Center,
Wed Oct 19 2022,8:00p,Charlotte Hornets,129,San Antonio Spurs,102,Box Score,,16236,AT&T Center,
Wed Oct 19 2022,9:00p,Denver Nuggets,102,Utah Jazz,123,Box Score,,18206,Vivint Arena,
Wed Oct 19 2022,10:00p,Dallas Mavericks,105,Phoenix Suns,107,Box Score,,17071,Footprint Center,
Wed Oct 19 2022,10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Box Score,,17611,Golden 1 Center,
Thu Oct 20 2022,7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,Box Score,,20060,Wells Fargo Center,
Thu Oct 20 2022,10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,Box Score,,18997,Crypto.com Arena,
Fri Oct 21 2022,7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,Box Score,,19287,Spectrum Center,
Fri Oct 21 2022,7:00p,San Antonio Spurs,137,Indiana Pacers,134,Box Score,,12073,Gainbridge Fieldhouse,
Fri Oct 21 2022,7:00p,Chicago Bulls,100,Washington Wizards,102,Box Score,,20476,Capital One Arena,
Fri Oct 21 2022,7:30p,Orlando Magic,98,Atlanta Hawks,108,Box Score,,17822,State Farm Arena,
Fri Oct 21 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,109,Box Score,,17732,Barclays Center,
Fri Oct 21 2022,7:30p,Boston Celtics,111,Miami Heat,104,Box Score,,19600,Kaseya Center,
Fri Oct 21 2022,7:30p,Detroit Pistons,106,New York Knicks,130,Box Score,,19812,Madison Square Garden (IV),
Fri Oct 21 2022,8:00p,Memphis Grizzlies,129,Houston Rockets,122,Box Score,,18055,Toyota Center,
Fri Oct 21 2022,8:00p,Utah Jazz,132,Minnesota Timberwolves,126,Box Score,OT,17136,Target Center,
Fri Oct 21 2022,10:00p,Denver Nuggets,128,Golden State Warriors,123,Box Score,,18064,Chase Center,
Fri Oct 21 2022,10:00p,Phoenix Suns,111,Portland Trail Blazers,113,Box Score,OT,19393,Moda Center,
Sat Oct 22 2022,6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,Box Score,,19822,Wells Fargo Center,
Sat Oct 22 2022,7:00p,Detroit Pistons,115,Indiana Pacers,124,Box Score,,16056,Gainbridge Fieldhouse,
Sat Oct 22 2022,7:00p,Boston Celtics,126,Orlando Magic,120,Box Score,,19299,Amway Center,
Sat Oct 22 2022,8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,Box Score,,21089,United Center,
Sat Oct 22 2022,8:00p,Toronto Raptors,109,Miami Heat,112,Box Score,,19600,Kaseya Center,
Sat Oct 22 2022,8:00p,Houston Rockets,105,Milwaukee Bucks,125,Box Score,,17341,Fiserv Forum,
Sat Oct 22 2022,8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,Box Score,,20377,American Airlines Center,
Sat Oct 22 2022,9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,Box Score,,19983,Ball Arena,
Sat Oct 22 2022,10:00p,Los Angeles Clippers,111,Sacramento Kings,109,Box Score,,16296,Golden 1 Center,
Sun Oct 23 2022,3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,Box Score,,18997,Crypto.com Arena,
Sun Oct 23 2022,5:00p,Charlotte Hornets,126,Atlanta Hawks,109,Box Score,,17383,State Farm Arena,
Sun Oct 23 2022,7:00p,Washington Wizards,107,Cleveland Cavaliers,117,Box Score,OT,19432,Rocket Mortgage Fieldhouse,
Sun Oct 23 2022,7:00p,Utah Jazz,122,New Orleans Pelicans,121,Box Score,OT,18665,Smoothie King Center,
Sun Oct 23 2022,8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Box Score,,15044,Paycom Center,
Sun Oct 23 2022,8:30p,Sacramento Kings,125,Golden State Warriors,130,Box Score,,18064,Chase Center,
Sun Oct 23 2022,10:00p,Phoenix Suns,112,Los Angeles Clippers,95,Box Score,,19068,Crypto.com Arena,
Mon Oct 24 2022,7:00p,Indiana Pacers,106,Philadelphia 76ers,120,Box Score,,19786,Wells Fargo Center,
Mon Oct 24 2022,7:30p,Toronto Raptors,98,Miami Heat,90,Box Score,,19600,Kaseya Center,
Mon Oct 24 2022,7:30p,Orlando Magic,102,New York Knicks,115,Box Score,,18800,Madison Square Garden (IV),
Mon Oct 24 2022,8:00p,Boston Celtics,102,Chicago Bulls,120,Box Score,,17673,United Center,
Mon Oct 24 2022,8:00p,Utah Jazz,108,Houston Rockets,114,Box Score,,16260,Toyota Center,
Mon Oct 24 2022,8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,Box Score,,17392,FedEx Forum,
Mon Oct 24 2022,8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,Box Score,,15347,Target Center,
Mon Oct 24 2022,10:00p,Denver Nuggets,110,Portland Trail Blazers,135,Box Score,,18111,Moda Center,
Tue Oct 25 2022,7:00p,Detroit Pistons,99,Washington Wizards,120,Box Score,,13196,Capital One Arena,
Tue Oct 25 2022,7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,Box Score,,14020,Smoothie King Center,
Tue Oct 25 2022,8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,Box Score,,13105,Paycom Center,
Tue Oct 25 2022,10:00p,Golden State Warriors,105,Phoenix Suns,134,Box Score,,17071,Footprint Center,
Wed Oct 26 2022,7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Box Score,,0,Rocket Mortgage Fieldhouse,
Wed Oct 26 2022,7:00p,Atlanta Hawks,118,Detroit Pistons,113,Box Score,,17987,Little Caesars Arena,
Wed Oct 26 2022,7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Box Score,,17341,Fiserv Forum,
Wed Oct 26 2022,7:30p,Charlotte Hornets,131,New York Knicks,134,Box Score,OT,19812,Madison Square Garden (IV),
Wed Oct 26 2022,7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena,
Wed Oct 26 2022,8:00p,Indiana Pacers,109,Chicago Bulls,124,Box Score,,18306,United Center,
Wed Oct 26 2022,8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Box Score,,16165,Target Center,
Wed Oct 26 2022,9:00p,Houston Rockets,101,Utah Jazz,109,Box Score,,18206,Vivint Arena,
Wed Oct 26 2022,10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Box Score,,19520,Ball Arena,
Wed Oct 26 2022,10:00p,Miami Heat,119,Portland Trail Blazers,98,Box Score,,18588,Moda Center,
Thu Oct 27 2022,7:30p,Dallas Mavericks,129,Brooklyn Nets,125,Box Score,OT,18039,Barclays Center,
Thu Oct 27 2022,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,Box Score,,14510,Paycom Center,
Thu Oct 27 2022,10:00p,Miami Heat,110,Golden State Warriors,123,Box Score,,18064,Chase Center,
Thu Oct 27 2022,10:00p,Memphis Grizzlies,125,Sacramento Kings,110,Box Score,,15511,Golden 1 Center,
Fri Oct 28 2022,7:00p,Atlanta Hawks,136,Detroit Pistons,112,Box Score,,18923,Little Caesars Arena,
Fri Oct 28 2022,7:00p,Charlotte Hornets,93,Orlando Magic,113,Box Score,,18846,Amway Center,
Fri Oct 28 2022,7:30p,Cleveland Cavaliers,132,Boston Celtics,123,Box Score,OT,19156,TD Garden,
Fri Oct 28 2022,7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Box Score,,19800,Scotiabank Arena,
Fri Oct 28 2022,7:30p,Indiana Pacers,127,Washington Wizards,117,Box Score,,13463,Capital One Arena,
Fri Oct 28 2022,8:00p,New York Knicks,108,Milwaukee Bucks,119,Box Score,,17341,Fiserv Forum,
Fri Oct 28 2022,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Box Score,,17136,Target Center,
Fri Oct 28 2022,8:30p,Chicago Bulls,124,San Antonio Spurs,129,Box Score,,16562,AT&T Center,
Fri Oct 28 2022,9:00p,Utah Jazz,101,Denver Nuggets,117,Box Score,,19560,Ball Arena,
Fri Oct 28 2022,10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Box Score,,17071,Footprint Center,
Fri Oct 28 2022,10:00p,Houston Rockets,111,Portland Trail Blazers,125,Box Score,,19082,Moda Center,
Sat Oct 29 2022,6:00p,Miami Heat,113,Sacramento Kings,119,Box Score,,14618,Golden 1 Center,
Sat Oct 29 2022,7:00p,Golden State Warriors,113,Charlotte Hornets,120,Box Score,OT,19079,Spectrum Center,
